Month,Zara Dress Search Interest,Chanel Bag Search Interest,avg_monthly_temp,avg_monthly_rain,zara dress,chanel bag
2012-10-01,29,64,19.607473118279568,0.0225,204,195
2012-11-01,33,69,13.797097222222222,0.0981666666666666,239,266
2012-12-01,34,80,9.700900537634409,0.2263844086021505,181,216
2013-01-01,30,73,8.149489247311829,0.046008064516129,260,280
2013-02-01,29,66,9.361011904761906,0.0342113095238095,261,325
2013-03-01,31,74,15.385645161290324,0.0326747311827956,153,187
2013-04-01,36,72,18.82847222222222,0.0163472222222222,167,264
2013-05-01,36,79,22.01279569892473,0.0035618279569892,209,179
2013-06-01,39,77,26.81911111111111,0.0002916666666666,209,227
2013-07-01,39,79,31.015900537634412,0.0,218,273
2013-08-01,32,82,27.76149193548387,0.0023252688172043,227,192
2013-09-01,32,80,24.380861111111113,0.003875,209,170
2013-10-01,30,79,17.40956989247312,0.0118951612903225,283,275
2013-11-01,32,86,13.43927777777778,0.0262361111111111,184,223
2013-12-01,36,99,7.719301075268817,0.0189919354838709,178,227
2014-01-01,35,92,10.704032258064515,0.0318548387096774,345,345
2014-02-01,36,96,12.38436011904762,0.1139583333333333,222,342
2014-03-01,36,97,15.476612903225806,0.0670295698924731,306,425
2014-04-01,41,96,18.166833333333333,0.0790277777777777,244,351
2014-05-01,42,93,22.465094086021505,0.0126747311827956,195,509
2014-06-01,42,85,26.823680555555555,0.0,183,450
2014-07-01,37,83,29.9398252688172,0.0011827956989247,269,333
2014-08-01,34,87,28.26256720430107,0.0,320,295
2014-09-01,30,84,25.752277777777778,0.0003333333333333,212,352
2014-10-01,32,87,20.883225806451613,0.0,145,433
2014-11-01,32,93,14.010638888888888,0.0631527777777777,87,222
2014-12-01,34,97,11.432069892473118,0.1636693548387096,86,271
2015-01-01,28,93,10.306706989247312,0.0018413978494623,128,272
2015-02-01,32,87,13.698556547619049,0.1109523809523809,115,142
2015-03-01,33,96,16.195040322580645,0.0033736559139784,97,179
2015-04-01,38,91,16.832083333333333,0.0354027777777777,101,147
2015-05-01,40,90,19.708938172043013,0.0190994623655914,75,106
2015-06-01,44,78,27.545069444444444,0.0007916666666666,124,135
2015-07-01,37,83,28.53865591397849,0.0007795698924731,89,145
2015-08-01,34,81,28.79603494623656,0.0,74,109
2015-09-01,33,77,26.127583333333337,0.005,90,88
2015-10-01,34,83,21.61188172043011,0.0289650537634408,51,108
2015-11-01,40,89,10.817430555555555,0.096875,81,79
2015-12-01,40,99,7.786048387096773,0.1064516129032258,15,38
